Make,Model,Variant,Year,Body_Type,Ex_Showroom_Price_Lakh,Fuel_Type,Transmission,Mileage_kmpl,Engine_cc,BHP,Seating_Capacity,Boot_Space_L,Ground_Clearance_mm,NCAP_Safety_Rating,Sunroof,ADAS,Touchscreen_Inches,CarPlay_AndroidAuto,Ideal_For,Summary_Embedding_Text
Maruti Suzuki,Alto K10,VXi Plus,2024,Hatchback,5.35,Petrol,Manual,24.39,998,66,5,214,167,2,False,False,7.0,True,"First-time buyers, daily city commute, tight budget","Maruti Suzuki Alto K10 VXi Plus: Compact budget hatchback under 6 Lakhs. Highly fuel efficient petrol engine (24.39 kmpl), easy to park, great for city driving."
Maruti Suzuki,Swift,ZXi Plus,2024,Hatchback,8.34,Petrol,AMT,25.75,1197,80,5,265,163,3,False,False,9.0,True,"City drivers wanting sportiness, reliability, and high fuel economy","Maruti Suzuki Swift ZXi Plus: Stylish hatchback with Z-Series engine delivering class-leading 25.75 kmpl mileage. Features 9-inch touchscreen, automatic climate control, and AMT."
Tata,Tiago,XZ Plus Dual Tone,2024,Hatchback,7.3,Petrol,Manual,20.01,1199,85,5,242,170,4,False,False,7.0,True,"Safety-conscious budget buyers, solid build quality","Tata Tiago XZ Plus: Safe and sturdy budget hatchback with 4-star Global NCAP safety rating. Harman audio system, 7-inch touchscreen, and comfortable ride quality."
Tata,Tiago.ev,XZ Plus Tech LUX,2024,Hatchback,11.89,EV,Automatic,0.0,0,74,5,240,165,4,False,False,7.0,True,"Affordable electric commuting, low running costs","Tata Tiago EV XZ Plus: Highly affordable electric vehicle with 315 km claimed range. Perfect for daily urban commutes with zero tailpipe emissions and fast charging support."
Hyundai,i20,Asta (O),2024,Premium Hatchback,9.98,Petrol,CVT,19.6,1197,87,5,311,170,3,True,False,10.25,True,"Tech lovers wanting premium hatchback comfort and sunroof","Hyundai i20 Asta O: Feature-packed premium hatchback with electric sunroof, Bose 7-speaker sound system, 10.25-inch touchscreen, and ambient lighting."
Tata,Nexon,Fearless Plus S,2024,Compact SUV,13.5,Petrol,DCA,17.01,1199,118,5,382,208,5,True,False,10.25,True,"Family safety, bad roads, feature-rich compact SUV","Tata Nexon Fearless Plus S: Benchmark 5-star GNCAP safe compact SUV with high 208mm ground clearance, voice-assisted sunroof, ventilated seats, and 360-degree camera."
Maruti Suzuki,Brezza,ZXi Plus Dual Tone,2024,Compact SUV,13.98,Petrol,Automatic,19.8,1462,102,5,328,198,4,True,False,9.0,True,"Reliable family SUV with low maintenance and good resale value","Maruti Suzuki Brezza ZXi Plus: Dependable compact SUV with 1.5L Smart Hybrid engine, electric sunroof, heads-up display (HUD), 360-degree camera, and great fuel economy."
Hyundai,Venue,SX (O) Turbo,2024,Compact SUV,13.23,Petrol,DCT,18.1,998,118,5,350,195,3,True,True,8.0,True,"Level 1 ADAS safety, punchy turbo acceleration, connected tech","Hyundai Venue SX O Turbo: Punchy 120 BHP turbo-petrol compact SUV equipped with Hyundai SmartSense Level 1 ADAS, powered driver seat, sunroof, and Bluelink connected car tech."
Kia,Sonet,GTX Plus Turbo,2024,Compact SUV,14.7,Petrol,DCT,18.2,998,118,5,385,205,3,True,True,10.25,True,"Aggressive styling, Level 1 ADAS, Bose audio, premium interior","Kia Sonet GTX Plus Turbo: Sporty compact SUV featuring Level 1 ADAS, dual 10.25-inch screens, Bose 7-speaker system, ventilated front seats, and 360-degree camera."
Mahindra,XUV3XO,AX7 Luxury,2024,Compact SUV,13.99,Petrol,Automatic,18.2,1197,129,5,364,201,5,True,True,10.25,True,"Segment-first panoramic sunroof, Level 2 ADAS, maximum power","Mahindra XUV3XO AX7 Luxury: Powerful 129 BHP compact SUV featuring segment-first Skyroof panoramic sunroof, Level 2 ADAS, electronic parking brake, and Harman Kardon audio."
Hyundai,Creta,SX (O),2024,Mid-Size SUV,17.24,Petrol,CVT,17.7,1497,113,5,433,190,3,True,True,10.25,True,"India's favorite family SUV, panoramic sunroof, comfort","Hyundai Creta SX O: India's benchmark mid-size SUV featuring panoramic sunroof, Level 2 ADAS with 19 features, dual-zone climate control, Bose audio, and high comfort."
Kia,Seltos,GTX Plus Turbo,2024,Mid-Size SUV,19.0,Petrol,DCT,17.9,1482,158,5,433,190,3,True,True,10.25,True,"High performance (158 BHP), futuristic tech, dual panoramic display","Kia Seltos GTX Plus Turbo: High-performance mid-size SUV with 158 BHP turbo engine, Level 2 ADAS, panoramic sunroof, dual 10.25-inch curved display, and 18-inch alloy wheels."
Mahindra,Scorpio-N,Z8 L 4WD,2024,SUV,24.54,Diesel,Automatic,14.0,2184,172,7,460,187,5,True,False,8.0,True,"7-seater off-road capability, tough ladder-frame SUV","Mahindra Scorpio-N Z8 L 4WD: Rugged 5-star NCAP safe 7-seater SUV with true 4x4 capability, 172 BHP mHawk diesel power, Sony 12-speaker audio, and high command seating position."
Mahindra,XUV700,AX7 Luxury Pack AWD,2024,SUV,26.99,Diesel,Automatic,14.7,2184,182,7,450,200,5,True,True,10.25,True,"Long highway cruises, top-tier safety, 7 seats, high power","Mahindra XUV700 AX7 Luxury AWD: Premium 7-seater SUV with 182 BHP diesel engine, All-Wheel Drive, 5-star GNCAP rating, Level 2 ADAS, Skyroof, flush door handles, and 3D Sony sound."
Tata,Safari,Accomplished Plus 6S,2024,SUV,26.79,Diesel,Automatic,14.5,1956,168,6,420,205,5,True,True,12.3,True,"Captain seats luxury, 5-star safety rating, high road presence","Tata Safari Accomplished Plus: Flagship 6-seater SUV with ventilated second-row captain seats, 5-star GNCAP safety, Level 2 ADAS, 12.3-inch Harman touchscreen, and gesture tailgate."
Toyota,Urban Cruiser Hyryder,V Hybrid,2024,Mid-Size SUV,19.99,Hybrid,e-CVT,27.97,1490,114,5,255,210,4,True,False,9.0,True,"Unbeatable 28 kmpl hybrid efficiency, Toyota reliability, bad roads","Toyota Urban Cruiser Hyryder V Hybrid: Strong hybrid mid-size SUV delivering exceptional 27.97 kmpl mileage. Features EV mode, panoramic sunroof, ventilated seats, and 210mm clearance."
Honda,City,ZX e:HEV Hybrid,2024,Sedan,20.55,Hybrid,e-CVT,27.13,1498,124,5,410,165,5,True,True,8.0,True,"Executive comfort, 27 kmpl hybrid mileage, Honda Sensing ADAS","Honda City e:HEV Hybrid: Premium executive sedan with self-charging dual-motor hybrid tech (27.13 kmpl). Comes with Honda Sensing Level 1 ADAS, sunroof, lane-watch camera, and rear comfort."
Volkswagen,Virtus,GT Plus Edge Turbo,2024,Sedan,19.4,Petrol,DSG,19.62,1498,148,5,521,179,5,True,False,10.1,True,"Driving enthusiasts, high-speed stability, massive boot space","Volkswagen Virtus GT Plus: Enthusiast-focused sedan with 148 BHP TSI turbo engine, fast 7-speed DSG transmission, 5-star GNCAP rating, massive 521L boot, and sunroof."
Hyundai,Verna,SX (O) Turbo,2024,Sedan,17.42,Petrol,DCT,20.6,1482,158,5,528,170,5,True,True,10.25,True,"Fast sedan (158 BHP), 5-star GNCAP safety, futuristic design","Hyundai Verna SX O Turbo: High-tech 5-star GNCAP sedan boasting 158 BHP power, Level 2 ADAS, heated and ventilated front seats, dual screen layout, and 528L boot space."
BMW,3 Series Gran Limousine,320Ld M Sport,2024,Luxury Sedan,62.0,Diesel,Automatic,19.61,1995,188,5,480,135,5,True,True,14.9,True,"Chauffeur-driven luxury, long wheelbase comfort, high status","BMW 3 Series Gran Limousine 320Ld: Long-wheelbase luxury sedan with extra rear legroom, BMW Curved Display (14.9-inch), panoramic sunroof, Harman Kardon audio, and dynamic power."
Toyota,Fortuner,GR-S 4X4,2024,Full-Size SUV,51.44,Diesel,Automatic,10.0,2755,201,7,296,225,5,False,False,8.0,True,"Unbeatable resale, extreme reliability, off-road dominance, status","Toyota Fortuner GR-S 4x4: Iconic full-size 7-seater SUV with 201 BHP / 500 Nm torque diesel engine, GR suspension tuning, high resale value, and supreme off-road capability."
